tweet_id,airline_sentiment_confidence,negativereason,negativereason_confidence,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone,sentiment_result,airline
5.7e+17,1,NaN,NaN,NaN,cairdin,NaN,0,@VirginAmerica What @dhepburn said.,NaN,2/24/2015 11:35,NaN,Eastern Time (US & Canada),neutral,Virgin America
5.7e+17,0.3486,NaN,0,NaN,jnardino,NaN,0,@VirginAmerica plus you've added commercials to the experience... tacky.,NaN,2/24/2015 11:15,NaN,Pacific Time (US & Canada),positive,Virgin America
5.7e+17,0.6837,NaN,NaN,NaN,yvonnalynn,NaN,0,@VirginAmerica I didn't today... Must mean I need to take another trip!,NaN,2/24/2015 11:15,Lets Play,Central Time (US & Canada),neutral,Virgin America
5.7e+17,1,Bad Flight,0.7033,NaN,jnardino,NaN,0,"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse",NaN,2/24/2015 11:15,NaN,Pacific Time (US & Canada),negative,Virgin America
5.7e+17,1,Can't Tell,1,NaN,jnardino,NaN,0,@VirginAmerica and it's a really big bad thing about it,NaN,2/24/2015 11:14,NaN,Pacific Time (US & Canada),negative,Virgin America
5.7e+17,1,Can't Tell,0.6842,NaN,jnardino,NaN,0,"@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA",NaN,2/24/2015 11:14,NaN,Pacific Time (US & Canada),negative,Virgin America
5.7e+17,0.6745,NaN,0,NaN,cjmcginnis,NaN,0,"@VirginAmerica yes, nearly every time I fly VX this “ear worm” won’t go away :)",NaN,2/24/2015 11:13,San Francisco CA,Pacific Time (US & Canada),positive,Virgin America
5.7e+17,0.634,NaN,NaN,NaN,pilot,NaN,0,"@VirginAmerica Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP",NaN,2/24/2015 11:12,Los Angeles,Pacific Time (US & Canada),neutral,Virgin America
5.7e+17,0.6559,NaN,NaN,NaN,dhepburn,NaN,0,"@virginamerica Well, I didn't…but NOW I DO! :-D",NaN,2/24/2015 11:11,San Diego,Pacific Time (US & Canada),positive,Virgin America
5.7e+17,1,NaN,NaN,NaN,YupitsTate,NaN,0,"@VirginAmerica it was amazing, and arrived an hour early. You're too good to me.",NaN,2/24/2015 10:53,Los Angeles,Eastern Time (US & Canada),positive,Virgin America
5.7e+17,0.6769,NaN,0,NaN,idk_but_youtube,NaN,0,@VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24,NaN,2/24/2015 10:48,1/1 loner squad,Eastern Time (US & Canada),neutral,Virgin America
